visual,hearing,speech,physical,mental,other,none,county
953,739,642,1376,377,265,131733,Kajiado
2298,1427,1539,3512,1032,717,372409,Kericho
1319,964,914,2068,655,440,200836,Kericho
1564,1083,1498,2646,974,623,299014,Bomet
950,726,742,1666,684,379,183159,Bomet
2089,1653,2046,3432,1267,1059,386094,Bomet
2580,1272,1814,2306,830,629,376733,Kajiado
3442,2028,2099,3663,1236,1263,282525,Kakamega
953,654,594,1739,641,428,100527,Kakamega
2721,1738,1340,2965,990,1167,195668,Kakamega
2280,1184,1075,2650,818,609,151389,Kakamega
3909,2128,2020,4113,1428,1170,279704,Kakamega
2836,1542,1488,4189,1258,735,211217,Vihiga
4464,2504,1272,5144,1448,1939,171118,Vihiga
1576,894,1034,2741,859,479,141862,Vihiga
6450,4277,3105,6861,1862,2490,337753,Kakamega
4285,2579,1670,5381,1491,1628,227993,Kakamega
4795,3491,3582,6303,2133,2443,387419,Bungoma
3521,2216,2455,4406,1549,1313,306815,Bungoma
2907,2032,2008,3352,1155,1774,218389,Bungoma
2725,2060,2841,4198,1265,1372,230940,Bungoma
1888,1423,1726,3022,817,581,164289,Bungoma
4233,2884,3483,5559,1955,2223,308533,Busia
1648,1123,1111,1853,510,409,111321,Busia
1755,1128,1274,2298,619,940,86710,Busia
1028,603,780,1824,379,330,62550,Busia
1389,1002,882,2063,603,335,131733,Busia
